time,seconds_elapsed,z,y,x
1686204641840964400,0.01596435546875,-261.324951171875,-35.640167236328125,-33.214141845703125
1686204651865917700,10.040917724609375,-264.37042236328125,-30.49462890625,-19.2882080078125
1686204661870719000,20.045718994140625,-212.82693481445312,-1.111846923828125,24.722030639648438
1686204671865794300,30.040794189453123,-218.43409729003906,16.167999267578125,-2.0145263671875
1686204681861935000,40.03693505859375,-177.22860717773438,-2.4028472900390625,-8.576065063476562
1686204691857808100,50.03280810546875,-196.4824676513672,14.929000854492188,-18.82275390625
1686204701853814000,60.02881396484375,-196.84617614746094,14.060226440429688,-22.85040283203125
1686204711848823300,70.0238232421875,-193.55630493164062,13.452972412109375,-22.881134033203125
1686204721844277500,80.01927758789063,-187.81613159179688,10.492446899414062,-23.21820068359375
1686204731839392000,90.01439208984375,-183.01528930664062,2.761322021484375,-23.838607788085938
1686204741835557400,100.01055737304688,-182.16751098632812,1.536956787109375,-24.303634643554688
1686204751831939600,110.00693969726562,-184.32826232910156,2.9910125732421875,-28.64727783203125
1686204761828829000,120.00382885742188,-196.5148468017578,13.8106689453125,-23.0250244140625
1686204771825649200,130.00064916992187,-202.6259002685547,15.191177368164062,-22.956268310546875
1686204781822249000,139.9972490234375,-210.0266571044922,15.571151733398438,-23.666778564453125
1686204791819145700,149.9941457519531,-208.21849060058594,14.126754760742188,-25.49188232421875
1686204801815001300,159.99000146484374,-203.705322265625,15.081497192382812,-28.7523193359375
1686204811811811800,169.98681176757813,-187.00534057617188,11.0401611328125,-21.89013671875
1686204821808640300,179.98364013671875,-185.2581329345703,4.5570068359375,-22.530258178710938
1686204831806214400,189.98121435546875,-185.67593383789062,2.9875335693359375,-26.599868774414062
1686204841803308800,199.97830883789064,-198.78598022460938,9.81591796875,-24.306106567382812
1686204851801016000,209.97601611328125,-207.26473999023438,14.769683837890625,-26.606155395507812
1686204861797657000,219.97265698242188,-201.28016662597656,14.806549072265625,-22.848892211914062
1686204871795553000,229.97055297851563,-189.9471893310547,10.242172241210938,-18.737594604492188
1686204881793403400,239.9684033203125,-184.7523651123047,3.4908905029296875,-28.652175903320312
1686204891790050600,249.96505053710936,-187.11361694335938,5.3234710693359375,-27.168975830078125
1686204901786716400,259.96171630859374,-203.72201538085938,12.127120971679688,-16.920913696289062
1686204911783651300,269.9586513671875,-207.91046142578125,13.703292846679688,-22.972824096679688
1686204921781680000,279.95668017578123,-205.25282287597656,14.824005126953125,-11.123504638671875
1686204931779134500,289.9541345214844,-188.87713623046875,13.229339599609375,-19.755355834960938
1686204941777491700,299.95249169921874,-175.92489624023438,1.4095916748046875,-26.823150634765625
1686204951775226000,309.95022607421873,-206.23406982421875,19.754837036132812,-4.24566650390625
1686204961772500500,319.94750048828126,-199.36196899414062,18.081695556640625,-30.713088989257812
1686204971769689600,329.94468969726563,-209.9930419921875,16.461929321289062,-16.7591552734375
1686204981768533500,339.9435334472656,-184.6469268798828,4.7874908447265625,-22.994186401367188
1686204991766895900,349.9418957519531,-188.4248504638672,0.5706024169921875,-29.62078857421875
1686205001765612000,359.94061206054687,-183.2948760986328,3.4545745849609375,-32.48875427246094
1686205011764031700,369.93903173828124,-208.344970703125,13.1693115234375,-27.854324340820312
1686205021762665700,379.9376657714844,-206.89756774902344,8.695846557617188,-34.52574157714844
1686205031760699600,389.93569970703123,-200.86541748046875,9.035110473632812,-31.022125244140625
1686205041758165200,399.93316528320315,-203.6461639404297,16.494216918945312,-22.124649047851562
1686205051756562200,409.9315622558594,-183.98866271972656,7.651641845703125,-22.987228393554688
1686205061755374300,419.93037426757815,-187.42335510253906,7.6175384521484375,-27.378585815429688
