startDate,endDate,value
2023-06-09 13:16:21 +0000,2023-06-09 13:16:21 +0000,58
2023-06-09 13:23:13 +0000,2023-06-09 13:23:13 +0000,65
2023-06-09 13:24:28 +0000,2023-06-09 13:24:28 +0000,61
2023-06-09 13:32:08 +0000,2023-06-09 13:32:08 +0000,66
2023-06-09 13:33:47 +0000,2023-06-09 13:33:47 +0000,56
2023-06-09 13:38:56 +0000,2023-06-09 13:38:56 +0000,63
2023-06-09 13:44:55 +0000,2023-06-09 13:44:55 +0000,61
2023-06-09 13:51:14 +0000,2023-06-09 13:51:14 +0000,75
2023-06-09 13:53:52 +0000,2023-06-09 13:53:52 +0000,61
2023-06-09 14:01:12 +0000,2023-06-09 14:01:12 +0000,97
2023-06-09 14:03:16 +0000,2023-06-09 14:03:16 +0000,61
2023-06-09 14:06:26 +0000,2023-06-09 14:06:26 +0000,61
2023-06-09 14:09:18 +0000,2023-06-09 14:09:18 +0000,65
2023-06-09 14:18:07 +0000,2023-06-09 14:18:07 +0000,60
2023-06-09 14:23:00 +0000,2023-06-09 14:23:00 +0000,69
2023-06-09 14:25:53 +0000,2023-06-09 14:25:53 +0000,74
2023-06-09 14:31:35 +0000,2023-06-09 14:31:35 +0000,66
2023-06-09 14:35:50 +0000,2023-06-09 14:35:50 +0000,62
2023-06-09 14:40:54 +0000,2023-06-09 14:40:54 +0000,75
2023-06-09 14:47:00 +0000,2023-06-09 14:47:00 +0000,67
2023-06-09 14:52:27 +0000,2023-06-09 14:52:27 +0000,65
2023-06-09 14:53:56 +0000,2023-06-09 14:53:56 +0000,67
2023-06-09 15:01:12 +0000,2023-06-09 15:01:12 +0000,69
2023-06-09 15:06:51 +0000,2023-06-09 15:06:51 +0000,64
2023-06-09 15:09:39 +0000,2023-06-09 15:09:39 +0000,61
2023-06-09 15:16:54 +0000,2023-06-09 15:16:54 +0000,69
2023-06-09 15:22:07 +0000,2023-06-09 15:22:07 +0000,63
2023-06-09 15:24:12 +0000,2023-06-09 15:24:12 +0000,74
2023-06-09 15:28:43 +0000,2023-06-09 15:28:43 +0000,77
2023-06-09 15:40:16 +0000,2023-06-09 15:40:16 +0000,57
2023-06-09 15:45:35 +0000,2023-06-09 15:45:35 +0000,68
2023-06-09 15:53:16 +0000,2023-06-09 15:53:16 +0000,68
2023-06-09 15:57:21 +0000,2023-06-09 15:57:21 +0000,78
2023-06-09 15:59:34 +0000,2023-06-09 15:59:34 +0000,69
2023-06-09 16:07:21 +0000,2023-06-09 16:07:21 +0000,59
2023-06-09 16:16:31 +0000,2023-06-09 16:16:31 +0000,83
2023-06-09 16:18:32 +0000,2023-06-09 16:18:32 +0000,76
2023-06-09 16:24:13 +0000,2023-06-09 16:24:13 +0000,68
2023-06-09 16:31:54 +0000,2023-06-09 16:31:54 +0000,73
2023-06-09 16:42:30 +0000,2023-06-09 16:42:30 +0000,66
2023-06-09 16:47:29 +0000,2023-06-09 16:47:29 +0000,72
2023-06-09 16:49:17 +0000,2023-06-09 16:49:17 +0000,74
2023-06-09 16:58:05 +0000,2023-06-09 16:58:05 +0000,74
2023-06-09 17:04:03 +0000,2023-06-09 17:04:03 +0000,70
2023-06-09 17:11:28 +0000,2023-06-09 17:11:28 +0000,69
2023-06-09 17:17:08 +0000,2023-06-09 17:17:08 +0000,74
2023-06-09 17:21:52 +0000,2023-06-09 17:21:52 +0000,62
2023-06-09 17:25:15 +0000,2023-06-09 17:25:15 +0000,72
2023-06-09 17:31:57 +0000,2023-06-09 17:31:57 +0000,70
2023-06-09 17:36:01 +0000,2023-06-09 17:36:01 +0000,74
2023-06-09 17:42:54 +0000,2023-06-09 17:42:54 +0000,83
2023-06-09 17:48:19 +0000,2023-06-09 17:48:19 +0000,71
2023-06-09 18:03:17 +0000,2023-06-09 18:03:17 +0000,59
2023-06-09 18:06:38 +0000,2023-06-09 18:06:38 +0000,66
2023-06-09 18:07:44 +0000,2023-06-09 18:07:44 +0000,68.1997680664063
2023-06-09 18:10:51 +0000,2023-06-09 18:10:51 +0000,74
2023-06-09 18:21:02 +0000,2023-06-09 18:21:02 +0000,116
2023-06-09 18:21:03 +0000,2023-06-09 18:21:03 +0000,114
2023-06-09 18:21:08 +0000,2023-06-09 18:21:08 +0000,118
2023-06-09 18:21:14 +0000,2023-06-09 18:21:14 +0000,117
2023-06-09 18:21:21 +0000,2023-06-09 18:21:21 +0000,115
2023-06-09 18:21:25 +0000,2023-06-09 18:21:25 +0000,114
2023-06-09 18:21:32 +0000,2023-06-09 18:21:32 +0000,113
2023-06-09 18:21:36 +0000,2023-06-09 18:21:36 +0000,111
2023-06-09 18:21:38 +0000,2023-06-09 18:21:38 +0000,110
2023-06-09 18:21:47 +0000,2023-06-09 18:21:47 +0000,112
2023-06-09 18:21:52 +0000,2023-06-09 18:21:52 +0000,113
2023-06-09 18:21:53 +0000,2023-06-09 18:21:53 +0000,114
2023-06-09 18:22:01 +0000,2023-06-09 18:22:01 +0000,111
2023-06-09 18:22:03 +0000,2023-06-09 18:22:03 +0000,111
2023-06-09 18:22:12 +0000,2023-06-09 18:22:12 +0000,112
2023-06-09 18:22:15 +0000,2023-06-09 18:22:15 +0000,113
2023-06-09 18:22:22 +0000,2023-06-09 18:22:22 +0000,110
2023-06-09 18:22:23 +0000,2023-06-09 18:22:23 +0000,111
2023-06-09 18:22:31 +0000,2023-06-09 18:22:31 +0000,114
2023-06-09 18:22:34 +0000,2023-06-09 18:22:34 +0000,114
2023-06-09 18:22:39 +0000,2023-06-09 18:22:39 +0000,114
2023-06-09 18:22:44 +0000,2023-06-09 18:22:44 +0000,114
2023-06-09 18:22:51 +0000,2023-06-09 18:22:51 +0000,117
2023-06-09 18:22:57 +0000,2023-06-09 18:22:57 +0000,115
2023-06-09 18:23:02 +0000,2023-06-09 18:23:02 +0000,116
2023-06-09 18:23:03 +0000,2023-06-09 18:23:03 +0000,115
2023-06-09 18:23:12 +0000,2023-06-09 18:23:12 +0000,111
2023-06-09 18:23:13 +0000,2023-06-09 18:23:13 +0000,112
2023-06-09 18:23:22 +0000,2023-06-09 18:23:22 +0000,99
2023-06-09 18:23:25 +0000,2023-06-09 18:23:25 +0000,100
2023-06-09 18:23:28 +0000,2023-06-09 18:23:28 +0000,101
2023-06-09 18:23:35 +0000,2023-06-09 18:23:35 +0000,94
2023-06-09 18:23:42 +0000,2023-06-09 18:23:42 +0000,97
2023-06-09 18:23:45 +0000,2023-06-09 18:23:45 +0000,96
2023-06-09 18:23:50 +0000,2023-06-09 18:23:50 +0000,92
2023-06-09 18:23:53 +0000,2023-06-09 18:23:53 +0000,92
2023-06-09 18:24:00 +0000,2023-06-09 18:24:00 +0000,96
2023-06-09 18:24:07 +0000,2023-06-09 18:24:07 +0000,96
2023-06-09 18:24:10 +0000,2023-06-09 18:24:10 +0000,96
2023-06-09 18:24:16 +0000,2023-06-09 18:24:16 +0000,96
2023-06-09 18:24:22 +0000,2023-06-09 18:24:22 +0000,101
2023-06-09 18:24:25 +0000,2023-06-09 18:24:25 +0000,103
2023-06-09 18:24:28 +0000,2023-06-09 18:24:28 +0000,105
2023-06-09 18:24:36 +0000,2023-06-09 18:24:36 +0000,111
2023-06-09 18:24:38 +0000,2023-06-09 18:24:38 +0000,110
2023-06-09 18:24:46 +0000,2023-06-09 18:24:46 +0000,110
2023-06-09 18:24:48 +0000,2023-06-09 18:24:48 +0000,110
2023-06-09 18:24:57 +0000,2023-06-09 18:24:57 +0000,101
2023-06-09 18:24:58 +0000,2023-06-09 18:24:58 +0000,102
2023-06-09 18:25:03 +0000,2023-06-09 18:25:03 +0000,105
2023-06-09 18:25:12 +0000,2023-06-09 18:25:12 +0000,108
2023-06-09 18:25:15 +0000,2023-06-09 18:25:15 +0000,108
2023-06-09 18:25:20 +0000,2023-06-09 18:25:20 +0000,102
