,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,pca_1,pca_2,pca_3,pca_4
2023-06-10 09:18:07.578849500,0.37650820642247834,-0.43544793663856013,-0.8030007721860751,-0.3999274700639352,0.6301903806622279,0.09866036765236776,76.0,0.0,1,0,0,0,0,-101.31915674485433,-65.14820597773445,-246.70065944312682,0.44995191724683997,-0.3210790790075527,-0.4126697466117627,-0.14222605940708774
2023-06-10 09:18:08.078849500,0.6116111561470825,-0.2238609271649367,-0.766940459519058,-0.5225162945371903,0.5563736836918756,-0.10735596737204729,76.0,0.135,1,0,0,0,0,-95.4028003313783,-61.32602039163275,-244.5134833671042,0.3452939147572305,-0.25870344660498923,-0.48845757375586923,-0.1052551745654971
2023-06-10 09:18:08.578849500,0.7442112228148158,0.04308014092010779,-0.6984155191266139,-0.3881750534202834,0.4164225251854603,-0.24061370668569443,76.0,0.27,1,0,0,0,0,-89.91913457931689,-54.59741344273703,-241.0279337382362,0.2071101182037758,-0.20785133085088758,-0.5303801943064942,-0.06236246608834243
2023-06-10 09:18:09.078849500,0.7913197766878918,0.26790280758527985,-0.6163746891035242,-0.034646881290699205,0.33216643307988897,-0.2396876425387136,76.0,0.5900000000000001,1,0,0,0,0,-85.21912056729357,-46.366567435676984,-235.81309240432353,0.07273037680629876,-0.1552799787057151,-0.5433188972886094,-0.04162821738282242
2023-06-10 09:18:09.578849500,0.831766634392956,0.3920268614289861,-0.5424762655806682,0.29317070452443067,0.3068960682219787,-0.1812267295772797,76.0,0.91,1,0,0,0,0,-81.57515883987833,-39.54168991544302,-229.7090941874003,-0.023883993184143706,-0.10631385791907229,-0.5523184020741289,-0.03770636005142606
2023-06-10 09:18:10.078849500,0.9050116890301686,0.43571145389700394,-0.4760584406846117,0.39467218580736263,0.3072161706614821,-0.1704256042337159,76.0,0.91,1,0,0,0,0,-79.57667384130943,-35.76414052284005,-223.59947531909847,-0.0799016786221175,-0.08038787274798281,-0.5667544361136,-0.02605411720152869
2023-06-10 09:18:10.578849500,0.9808562947571534,0.4521773436128396,-0.40172255400134427,0.31987847601628794,0.33184580699467003,-0.21881538708512385,76.0,0.91,1,0,0,0,0,-79.60795656375846,-33.85715428532316,-217.2328169357572,-0.11964793567075951,-0.058002327914596315,-0.5688445959162522,-0.02560172477636256
2023-06-10 09:18:11.078849500,1.0171698547935177,0.46149117114444727,-0.3186353596441064,0.24918307642993384,0.3533415475145699,-0.25396186797584364,76.35714285714286,0.865,1,0,0,0,0,-81.29686241769724,-31.705583305441145,-210.18025843452065,-0.15735378302970027,-0.04591788442662895,-0.5492915453698842,-0.02534599536277548
2023-06-10 09:18:11.578849500,1.0133480680185285,0.45119158207111953,-0.2504396993524752,0.21932004559209248,0.28823050537634104,-0.22748403720553506,76.71428571428571,0.82,1,0,0,0,0,-83.62400548641247,-28.971013093262627,-203.61699447434933,-0.18644088793874541,-0.042990889932336615,-0.5202307643783644,-0.027862630685438153
2023-06-10 09:18:12.078849500,0.9947011444584146,0.42974514680753045,-0.2213635480416611,0.10407803529513879,0.10318822373752351,-0.17095246181529705,77.07142857142857,0.82,1,0,0,0,0,-85.40690971708442,-26.857254439890102,-200.02967867466796,-0.19719212170640912,-0.04246761098937145,-0.4990599838530404,-0.03226208332500382
2023-06-10 09:18:12.578849500,0.9690295719415639,0.44060994255523483,-0.2308039175999761,-0.12327956286429889,-0.10433212522807253,-0.13197562111859507,77.42857142857143,0.82,1,0,0,0,0,-85.7717205210548,-25.73606419929223,-200.87737766791196,-0.1993176802123318,-0.04527835659385901,-0.4917717793057864,-0.02805048748687924
