,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:41:22.078849500,0.38070306,-0.50597894,-0.80258834,-0.12916301,-0.4704723,-0.054706857,,,0,0,0,1,0,-100.62302,-38.436226,-267.41052
2023-06-10 09:41:22.578849500,0.30375642,-0.50128263,-0.85656923,0.19238794,0.3541606,0.334798,,0.0077506443,0,0,0,1,0,-109.41158,-37.612495,-271.3179
2023-06-10 09:41:23.078849500,0.36956912,-0.49471703,-0.61094356,0.439166,1.985848,0.30658132,,,0,0,0,1,0,-90.559265,-50.38404,-250.33987
2023-06-10 09:41:23.578849500,1.0309207,-0.24906892,0.20029053,0.8943219,1.1519665,-1.9433728,,0.17614445,0,0,0,1,0,-84.98772,-13.87037,-211.95345
2023-06-10 09:41:24.078849500,0.8613031,-0.07555359,0.3662747,-0.15200126,-0.25126013,1.7183049,,,0,0,0,1,0,-80.313896,-20.124746,-209.91248
2023-06-10 09:41:24.578849500,0.9760017,-0.2757559,0.009017633,-0.93381536,0.08631787,-0.7019212,,0.3943851,0,0,0,1,0,-77.68955,-22.337336,-214.56345
2023-06-10 09:41:25.078849500,1.034285,-0.067128904,0.24964294,0.79114836,0.7737954,0.28572074,,,0,0,0,1,0,-83.63445,-7.0220428,-217.39056
2023-06-10 09:41:25.578849500,0.8454587,-0.20792419,0.4321921,-0.5425444,0.17479578,-0.8800354,79.0,0.18199432,0,0,0,1,0,-81.69032,-20.783161,-198.60141
2023-06-10 09:41:26.078849500,0.7999744,0.14636947,0.5120193,-0.01831918,0.3547794,-0.39516345,,,0,0,0,1,0,-98.09283,0.5747852,-192.10426
2023-06-10 09:41:26.578849500,0.71698,0.2357727,0.6119162,-0.33707178,0.9058655,-0.78372204,,0.115769096,0,0,0,1,0,-107.19734,0.490784,-185.83655
2023-06-10 09:41:27.078849500,0.48734772,0.22818817,0.8547736,-0.06636431,0.46820748,-0.24824238,,,0,0,0,1,0,-120.21476,-0.004350281,-179.55457
2023-06-10 09:41:27.578849500,0.16932492,0.8099412,0.59779483,1.5018202,-1.1387122,-2.1227608,,0.16729972,0,0,0,1,0,-143.62502,1.5237013,-185.11435
2023-06-10 09:41:28.078849500,0.45386687,0.82897156,0.28534395,-0.13696466,-0.05090689,2.0056012,,,0,0,0,1,0,-129.98032,13.393056,-197.81451
2023-06-10 09:41:28.578849500,0.8380749,0.47027007,0.2381961,-0.12298358,0.014429195,0.12962699,79.0,0.20202506,0,0,0,1,0,-103.5311,8.988459,-196.91231
2023-06-10 09:41:29.078849500,0.5267306,0.8438817,0.28145054,-0.0127161015,-0.31768832,-0.98708266,,,0,0,0,1,0,-127.12314,12.454708,-193.47928
2023-06-10 09:41:29.578849500,0.40109894,0.8548984,0.29145387,-0.20756416,-0.15174295,-0.11371448,,0.13703164,0,0,0,1,0,-131.68854,9.341152,-189.57204
2023-06-10 09:41:30.078849500,0.44528228,0.849859,0.24542542,-0.033222713,-0.2605413,-0.32836002,,,0,0,0,1,0,-128.52228,9.73539,-188.8355
2023-06-10 09:41:30.578849500,0.33961955,0.93762267,0.1883302,0.08760113,-0.010159215,-0.08842131,,0.17159949,0,0,0,1,0,-131.68925,10.230329,-190.41245
2023-06-10 09:41:31.078849500,0.3412207,0.9000198,0.28244874,-0.44274706,0.025285719,-0.11646556,,,0,0,0,1,0,-133.12164,6.6988583,-186.47388
