,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z
2023-06-10 09:18:12.078849500,0.9838334,0.43791583,-0.20589855,-0.1400043,-0.15515794,-0.4548615,77.42857142857143,1,0,0,0,0,-86.23972,-24.597908,-200.87918
2023-06-10 09:18:13.078849500,0.9047659,0.530592,-0.29029435,-0.5241968,-0.26193246,-0.29489458,78.14285714285714,1,0,0,0,0,-83.55902,-26.87943,-206.39775
2023-06-10 09:18:14.078849500,0.82986236,0.61414635,-0.32874784,0.0007351379,0.27550596,0.19376966,78.85714285714286,1,0,0,0,0,-81.35962,-28.067566,-215.0579
2023-06-10 09:18:15.078849500,1.0007871,0.56900287,-0.336665,0.40788653,0.3310354,-0.21556659,79.57142857142857,1,0,0,0,0,-82.84418,-31.895376,-211.8698
2023-06-10 09:18:16.078849500,0.97984314,0.6834433,-0.2861923,0.13741237,0.23914163,0.12172385,80.28571428571429,1,0,0,0,0,-86.84221,-28.609701,-206.16225
2023-06-10 09:18:17.078849500,0.9978119,0.5594817,-0.28175735,-0.080428004,0.072249,0.8356171,81.0,1,0,0,0,0,-90.80093,-33.03065,-210.65083
2023-06-10 09:18:18.078849500,1.0270672,0.50202817,-0.22976916,-0.49620533,0.589363,0.13415194,80.0,1,0,0,0,0,-84.86673,-37.127804,-221.27199
2023-06-10 09:18:19.078849500,0.984215,0.7568648,-0.13815662,-0.4746302,-0.45569408,-0.22296101,79.66666666666667,1,0,0,0,0,-89.2135,-29.74136,-227.37949
2023-06-10 09:18:20.078849500,0.8902553,0.7719572,-0.16440125,-0.4627062,0.071898274,-0.75826705,79.33333333333333,1,0,0,0,0,-97.49174,-22.136297,-233.6327
2023-06-10 09:18:21.078849500,0.8470553,0.71245426,-0.15672441,-0.033539187,-0.18553668,-0.13868777,79.0,1,0,0,0,0,-97.727455,-27.19021,-235.46873
2023-06-10 09:18:22.078849500,0.9363556,0.6486297,-0.26790687,-0.20863642,0.22104609,-0.14107223,78.66666666666667,1,0,0,0,0,-98.34027,-28.747557,-235.22198
2023-06-10 09:18:23.078849500,1.0844166,0.66028136,-0.121779785,0.54531986,-0.14025278,0.11198085,78.33333333333333,1,0,0,0,0,-93.178474,-29.748442,-232.7854
2023-06-10 09:18:24.078849500,0.9238759,0.8491245,-0.1507485,-0.9497013,0.27055025,-0.069878265,78.0,1,0,0,0,0,-94.449295,-19.963236,-235.14099
2023-06-10 09:18:25.078849500,0.99228644,0.7080249,0.08705494,-0.7875894,-0.40904707,0.6278664,77.66666666666667,1,0,0,0,0,-101.80886,-8.372054,-225.04924
2023-06-10 09:18:26.078849500,1.1002266,0.4337683,-0.14748764,-0.4697476,-0.16033362,-0.06655592,77.33333333333333,1,0,0,0,0,-101.635475,-18.269436,-201.8827
2023-06-10 09:18:27.078849500,0.9662113,0.4758438,-0.22989985,-0.075475305,-0.18194048,-0.24995667,77.0,1,0,0,0,0,-101.48542,-15.93763,-201.08366
2023-06-10 09:18:28.078849500,0.96264774,0.44439435,-0.1880712,-0.33169517,0.10521791,-0.6580092,77.0,1,0,0,0,0,-99.12832,-20.508276,-197.8075
2023-06-10 09:18:29.078849500,0.93010056,0.5943317,-0.08396711,-0.049118176,0.017196398,-0.34328938,77.83333333333333,1,0,0,0,0,-107.45734,-14.070177,-199.04738
2023-06-10 09:18:30.078849500,0.84345704,0.6851392,-0.19371994,-0.15547767,0.01578239,-0.08736688,78.66666666666667,1,0,0,0,0,-109.11532,-13.762822,-205.28563
2023-06-10 09:18:31.078849500,0.9371436,0.70058864,-0.20057909,0.64920926,0.5443413,0.04492343,79.5,1,0,0,0,0,-111.07031,-13.507593,-212.13426
2023-06-10 09:18:32.078849500,0.8794543,0.56128347,-0.19107595,0.21106197,0.8020345,0.6509146,80.33333333333333,1,0,0,0,0,-113.982216,-11.74862,-225.77173
2023-06-10 09:18:33.078849500,0.9065396,0.7111937,-0.34391403,1.852124,0.83496267,-0.08287623,81.16666666666667,1,0,0,0,0,-111.7546,-21.723572,-236.5612
2023-06-10 09:18:34.078849500,1.0166767,0.7350154,-0.14623839,-0.031164136,0.19332926,-0.21895681,82.0,1,0,0,0,0,-101.28987,-24.336763,-230.14783
2023-06-10 09:18:35.078849500,0.9604358,0.62217206,-0.20249106,-0.22044508,-0.17670886,-0.4231258,84.4,1,0,0,0,0,-95.21663,-23.441618,-226.3792
