,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,acc_x_lof,acc_y_lof,acc_z_lof,gyr_x_lof,gyr_y_lof,gyr_z_lof,hr_bpm_lof,mag_x_lof,mag_y_lof,mag_z_lof,loc_speed_lof
2023-06-10 09:18:15.078849500,1.0007871,0.56900287,-0.336665,0.40788653,0.3310354,-0.21556659,,1.38,1,0,0,0,0,-82.84418,-31.895376,-211.8698,0.955449735208588,1.50943896609294,1.3957330030234187,0.9630811760438436,1.3131725567311376,0.9679559730025388,,0.9726841913637012,1.014412933800101,1.1117375509975727,1.2682417256123584
2023-06-10 09:18:16.078849500,0.97984314,0.6834433,-0.2861923,0.13741237,0.23914163,0.12172385,,1.53,1,0,0,0,0,-86.84221,-28.609701,-206.16225,1.1170738850786155,1.303045086363145,1.0750728717378613,1.0709596166310429,1.0665387967016149,1.064426202312435,,0.9439767804077976,0.9529052415005914,1.1815401483299754,1.047324179475451
2023-06-10 09:18:17.078849500,0.9978119,0.5594817,-0.28175735,-0.080428004,0.072249,0.8356171,81.0,1.53,1,0,0,0,0,-90.80093,-33.03065,-210.65083,1.1528691888947953,1.1085310445213588,2.980204736747699,1.3230254681457378,1.094661208055486,1.0119366993687346,1.0,0.9740183147279475,0.9321313964511975,1.1386605638862848,1.047324179475451
2023-06-10 09:18:18.078849500,1.0270672,0.50202817,-0.22976916,-0.49620533,0.589363,0.13415194,80.0,1.53,1,0,0,0,0,-84.86673,-37.127804,-221.27199,1.1803953151015159,1.1283274356011324,0.9347728743930348,1.4541631230470082,1.7850693695197255,0.9417508968427851,1.0,1.5601134991890064,1.0502371426965156,1.047625838568478,1.047324179475451
2023-06-10 09:18:19.078849500,0.984215,0.7568648,-0.13815662,-0.4746302,-0.45569408,-0.22296101,,0.44,1,0,0,0,0,-89.2135,-29.74136,-227.37949,1.0662006540107025,1.802198223771685,0.9077607599430566,1.0518646150197841,1.0079342635704873,1.1957110519452914,,1.0450986650555283,1.026170716815476,1.227461375767827,1.0206821781429827
2023-06-10 09:18:20.078849500,0.8902553,0.7719572,-0.16440125,-0.4627062,0.071898274,-0.75826705,,0.0,1,0,0,0,0,-97.49174,-22.136297,-233.6327,1.3023274566094463,0.945873514531688,0.9104434763154194,1.049393034342795,1.1024734790871444,1.1079505931638216,,0.9568740694983356,1.0716056706943369,1.0435195001730897,1.0
2023-06-10 09:18:21.078849500,0.8470553,0.71245426,-0.15672441,-0.033539187,-0.18553668,-0.13868777,,0.0,1,0,0,0,0,-97.727455,-27.19021,-235.46873,1.0249788690932808,1.0222274321680087,0.8492472377678101,0.9627766431651149,1.2325703963433,1.0720221134631163,,1.0202142429286183,0.9632094460354341,1.3241252130231835,1.0
2023-06-10 09:18:22.078849500,0.9363556,0.6486297,-0.26790687,-0.20863642,0.22104609,-0.14107223,,0.0,1,0,0,0,0,-98.34027,-28.747557,-235.22198,0.9737716009171821,0.958645881814774,1.0809857822959394,1.0902348917660314,0.8866270331492736,1.078364973247434,,1.0690728390071957,1.0884749023074756,0.9082030128880051,1.0
2023-06-10 09:18:23.078849500,1.0844166,0.66028136,-0.121779785,0.54531986,-0.14025278,0.11198085,,0.0,1,0,0,0,0,-93.178474,-29.748442,-232.7854,1.0798933842453238,1.8201114874281634,1.1090856513947833,1.0473852913443178,0.9667752029790517,1.0656505913336924,,0.9110275409927391,0.9802403652597689,2.842202240011682,1.0
2023-06-10 09:18:24.078849500,0.9238759,0.8491245,-0.1507485,-0.9497013,0.27055025,-0.069878265,,0.0,1,0,0,0,0,-94.449295,-19.963236,-235.14099,1.1517303251806765,0.9493710962782742,1.8599983476696669,1.1747505001551894,0.9675270492974932,1.138068360431831,,0.9715358456782655,1.1153255685652557,2.9891411450738294,1.0
2023-06-10 09:18:25.078849500,0.99228644,0.7080249,0.08705494,-0.7875894,-0.40904707,0.6278664,,0.0,1,0,0,0,0,-101.80886,-8.372054,-225.04924,0.9593594070779838,1.2697629174007146,0.9767673349479848,1.1670251377435186,1.0633066131179862,1.0920067755369267,,1.1347415769904554,0.9606814943254027,1.1649813723652012,1.0
2023-06-10 09:18:26.078849500,1.1002266,0.4337683,-0.14748764,-0.4697476,-0.16033362,-0.06655592,,0.0,1,0,0,0,0,-101.635475,-18.269436,-201.8827,1.440826348167036,0.9394414280910881,1.3710636073290159,1.029779666455799,0.9559124063212747,1.0003982314155428,,0.9578583912938996,1.193079160302863,1.2244461948386707,1.0
2023-06-10 09:18:27.078849500,0.9662113,0.4758438,-0.22989985,-0.075475305,-0.18194048,-0.24995667,77.0,0.0,1,0,0,0,0,-101.48542,-15.93763,-201.08366,1.6111315358881346,0.9816075812116528,1.02239286756702,1.6656055453727567,1.0411343585804755,0.9754677464180458,1.0,1.0594323076688954,1.2663087487062588,1.0704842804189512,1.0
