,bpm,time
198,94.0,1686204878000000000
199,93.0,1686204885000000000
200,94.0,1686204888000000000
201,94.0,1686204893000000000
202,95.0,1686204899000000000
203,93.0,1686204903000000000
204,93.0,1686204912000000000
205,92.0,1686204914000000000
206,93.0,1686204918000000000
207,92.0,1686204923000000000
208,94.0,1686204932000000000
209,95.0,1686204936000000000
210,94.0,1686204938000000000
211,93.0,1686204944000000000
212,92.0,1686204951000000000
213,92.0,1686204954000000000
214,91.0,1686204959000000000
215,90.0,1686204965000000000
216,89.0,1686204969000000000
217,90.0,1686204977000000000
218,89.0,1686204979000000000
219,89.0,1686204984000000000
220,89.0,1686204991000000000
221,89.0,1686204993000000000
222,88.0,1686205001000000000
223,88.0,1686205003000000000
224,87.0,1686205011000000000
225,88.0,1686205015000000000
226,90.0,1686205022000000000
227,90.0,1686205024000000000
228,91.0,1686205028000000000
229,90.0,1686205036000000000
230,90.0,1686205039000000000
231,90.0,1686205044000000000
232,90.0,1686205048000000000
233,90.0,1686205057000000000
234,90.0,1686205058000000000
235,91.0,1686205067000000000
236,90.0,1686205068000000000
237,91.0,1686205073000000000
238,91.0,1686205078000000000
239,91.0,1686205083000000000
240,90.0,1686205091000000000
241,90.0,1686205094000000000
242,90.0,1686205098000000000
243,90.0,1686205105000000000
244,90.0,1686205112000000000
245,90.0,1686205114000000000
246,90.0,1686205118000000000
247,92.0,1686205142000000000
248,90.0,1686205144000000000
249,90.0,1686205148000000000
250,89.0,1686205153000000000
251,83.0,1686205162000000000
252,85.0,1686205167000000000
253,82.0,1686205172000000000
254,81.0,1686205173000000000
255,79.0,1686205182000000000
256,79.0,1686205183000000000
257,82.0,1686205188000000000
258,85.0,1686205193000000000
259,82.0,1686205202000000000
260,86.0,1686205207000000000
261,87.0,1686205208000000000
262,86.0,1686205215000000000
263,86.0,1686205218000000000
264,87.0,1686205225000000000
265,87.0,1686205232000000000
266,87.0,1686205233000000000
267,87.0,1686205238000000000
268,87.0,1686205245000000000
269,89.0,1686205252000000000
270,89.0,1686205257000000000
271,89.0,1686205258000000000
272,89.0,1686205267000000000
273,89.0,1686205269000000000
274,88.0,1686205277000000000
275,88.0,1686205279000000000
276,81.0,1686205284000000000
277,81.0,1686205292000000000
278,80.0,1686205293000000000
279,78.0,1686205298000000000
280,81.0,1686205307000000000
281,81.0,1686205308000000000
282,78.0,1686205317000000000
283,79.0,1686205322000000000
284,80.0,1686205324000000000
285,75.0,1686205331000000000
286,77.0,1686205337000000000
287,77.0,1686205342000000000
288,77.0,1686205344000000000
289,77.0,1686205350000000000
290,77.0,1686205356000000000
291,79.0,1686205361000000000
292,80.0,1686205364000000000
293,81.0,1686205368000000000
294,82.0,1686205377000000000
295,78.0,1686205382000000000
296,80.0,1686205386000000000
297,81.0,1686205388000000000
298,79.0,1686205394000000000
299,76.0,1686205402000000000
300,75.0,1686205403000000000
301,76.0,1686205408000000000
302,78.0,1686205413000000000
303,80.0,1686205418000000000
304,81.0,1686205424000000000
