time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1686246416000014600,-0.3559853515625,43.18344755843282,2.6804898190826782,180,52.357329800103805,0.5934474058449268,202.15366913018784,8.593344295685643,1.6221417223669279,4.899222560990694,0.10805447233826371
1686246417000013600,0.644013671875,43.14877689257264,1.2669315718430694,180,52.35733023537216,0.5587767399847507,202.1536693591086,6.634040328913819,2.2416416818898517,4.899222850436838,0
1686246418000018200,1.64401806640625,43.32734782528132,1.4479320398143598,180,52.35732901343672,0.7373476726934314,202.15372167370714,6.239571370811262,2.3885856111035064,4.899267422706608,0.09002834924556212
1686246419000020000,2.64402001953125,43.309469962492585,2.012095361202902,180,52.35732164188407,0.7194698099046946,202.153707355856,6.196748769795258,2.2814452215615586,4.899253572774064,0.17767192937902843
1686246420000020500,3.6440205078125,43.31667966861278,2.393233892829786,180,52.357309104237665,0.7266795160248876,202.1537131121293,6.75545265492194,1.769614862425836,4.899255819674076,0.549116213879631
1686246421000015400,4.644015380859375,43.38868059590459,2.3870847598147558,151.6518325546725,52.35731311280996,0.7986804433166981,209.81419963476966,7.451862832305916,1.7137120459486035,4.899235777535237,0.7839395312182444
1686246422000012300,5.64401220703125,42.98465532064438,2.3912540414525543,158.98992778766277,52.35730759148007,0.39465516805648804,208.0563637468722,8.11394101148907,1.5668149515564105,4.899237609455821,0.7338654686048693
1686246423000014600,6.6440146484375,43.016424492932856,2.6864852933509433,180,52.35731131243206,0.42642434034496546,202.21498343331416,8.79151601877328,1.339224678262018,4.899269218786218,0.45132051811406987
1686246424000017700,7.644017578125,42.88903118856251,2.330900339529882,180,52.35732522822133,0.2990310359746218,202.21497914856877,10.548323783977366,1.2292335194903898,4.8992628255073205,0.0563817548422286
1686246425000019700,8.644019775390625,42.57911732327193,3.3200250481160007,180,52.35731198802185,-0.010882829315960407,202.21502102976143,10.859846613120881,1.199772714729173,4.899319837406346,0.6931818417716071
1686246426000022000,9.64402197265625,42.55586731992662,1.5348344354018422,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.83885061432361,1.136174482449408,4.89932036869638,0
1686246427000018200,10.64401806640625,42.55586731992662,1.4647324807730049,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.760979081057016,1.1255980471535134,4.89932036869638,0
1686246428000016000,11.644015869140626,42.55586731992662,1.2795675305983845,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.85391871888886,1.098616697132597,4.89932036869638,0
1686246429000016100,12.64401611328125,42.55586731992662,1.4566125380527468,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.959035112444138,1.1300738013737004,4.89932036869638,0
1686246430000016100,13.64401611328125,42.55586731992662,1.1673418708342889,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.392884734735315,1.5970543851815984,4.89932036869638,0
1686246431000016000,14.644015869140626,42.55586731992662,1.278523440255059,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.513408697548293,1.5215330532188724,4.89932036869638,0
1686246432000016600,15.6440166015625,42.55586731992662,1.7864084014273809,180,52.35731352053936,-0.034132832661271095,202.21502147490233,7.787979110829305,1.9046535415514543,4.89932036869638,0
1686246433000016600,16.6440166015625,42.55586731992662,1.1545557965738664,180,52.35731352053936,-0.034132832661271095,202.21502147490233,7.675040605763273,2.1402989750075334,4.89932036869638,0
1686246434000017200,17.64401708984375,42.55586731992662,1.7423522555132287,180,52.35731352053936,-0.034132832661271095,202.21502147490233,7.908389488969252,1.9247881939918947,4.89932036869638,0
1686246435000016100,18.64401611328125,42.55586731992662,1.7212504061683012,180,52.35731352053936,-0.034132832661271095,202.21502147490233,7.957568540814981,2.0546217795393646,4.89932036869638,0
1686246436000016000,19.644015869140624,42.55586731992662,1.7198039588999408,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.05667350095349,1.9376775387729088,4.89932036869638,0
1686246437000016100,20.64401611328125,42.55586731992662,1.6771460819841995,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.138107579793253,1.8749823709897664,4.89932036869638,0
1686246438000016100,21.64401611328125,42.55586731992662,1.6855633129071317,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.312342001663104,1.7807566844531413,4.89932036869638,0
1686246439000016100,22.64401611328125,42.55586731992662,1.5967539549232768,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.424088318003351,1.7077928142210963,4.89932036869638,0
1686246440000016100,23.64401611328125,42.55586731992662,1.5291469062349472,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.509794072516382,1.6450769695583203,4.89932036869638,0
1686246441000016400,24.644016357421876,42.55586731992662,1.4596759348111152,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.63493080311504,1.559999609786858,4.89932036869638,0
1686246442000015600,25.644015625,42.55586731992662,1.4533829892568837,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.733906778653074,1.5223109602790306,4.89932036869638,0
1686246443000015600,26.644015625,42.55586731992662,1.3745722287792668,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.85159004772219,1.4242857832115872,4.89932036869638,0
1686246444000015400,27.644015380859376,42.55586731992662,1.3721407113696373,180,52.35731352053936,-0.034132832661271095,202.21502147490233,8.94677400141633,1.3268072558122503,4.89932036869638,0
1686246445000015400,28.644015380859376,42.55586731992662,1.3709091352954181,180,52.35731352053936,-0.034132832661271095,202.21502147490233,9.0707854822055,1.2113341917616511,4.89932036869638,0
