time,seconds_elapsed,relativeAltitude,pressure
1686246415801443300,-0.554556640625,0,1014.8485565185547
1686246416805908200,0.449908203125,-0.02642345428466797,1014.8523712158203
1686246417810337300,1.454337158203125,-0.05813121795654297,1014.8561859130859
1686246418814699300,2.45869921875,-0.1109781265258789,1014.8623657226562
1686246419819064000,3.46306396484375,-0.1743936538696289,1014.8696136474609
1686246420171840300,3.81584033203125,-0.2219552993774414,1014.87548828125
1686246421243199200,4.88719921875,-0.2695169448852539,1014.8814392089844
1686246422314593300,5.95859326171875,-0.36992549896240234,1014.8933410644531
1686246423385942300,7.0299423828125,-0.44919490814208984,1014.9030303955078
1686246424457324300,8.10132421875,-0.5231800079345703,1014.9118041992188
1686246425528619300,9.172619384765625,-0.5865955352783203,1014.9193572998047
1686246426599924200,10.24392431640625,-0.5865955352783203,1014.9198150634766
1686246427671228200,11.315228271484376,-0.5865955352783203,1014.9198150634766
1686246428742565000,12.386565185546875,-0.5865955352783203,1014.9195861816406
1686246429813903400,13.4579033203125,-0.5760259628295898,1014.9185180664062
1686246430885281300,14.52928125,-0.5601720809936523,1014.9160766601562
1686246431956596200,15.60059619140625,-0.5496025085449219,1014.9149322509766
1686246433027977200,16.671977294921874,-0.5390338897705078,1014.9139404296875
1686246434099363300,17.74336328125,-0.5390338897705078,1014.9139404296875
1686246435170751200,18.814751220703126,-0.5496025085449219,1014.9152374267578
1686246436242126300,19.886126220703126,-0.5654563903808594,1014.9172210693359
1686246437313446400,20.9574462890625,-0.6024494171142578,1014.9216461181641
1686246438384795100,22.028795166015627,-0.6235876083374023,1014.9240112304688
1686246439456136200,23.10013623046875,-0.6235876083374023,1014.9240112304688
1686246440527515100,24.17151513671875,-0.6235876083374023,1014.9237823486328
1686246441598864400,25.242864501953125,-0.6024494171142578,1014.9216461181641
1686246442670181400,26.314181396484376,-0.5443181991577148,1014.9147033691406
1686246443741497300,27.385497314453126,-0.5073261260986328,1014.9099731445312
1686246444812826000,28.456826171875,-0.46504878997802734,1014.9048614501953
1686246445884184300,29.528184326171875,-0.43334102630615234,1014.901123046875
1686246446955525000,30.599525146484375,-0.40163326263427734,1014.8975372314453
1686246448026896100,31.670896240234374,-0.3752098083496094,1014.8941040039062
1686246449098277400,32.74227734375,-0.3329324722290039,1014.8890686035156
1686246450169678300,33.81367822265625,-0.27480125427246094,1014.8822784423828
1686246451241074400,34.88507446289063,-0.21667098999023438,1014.8748016357422
1686246452312459300,35.95645922851563,-0.1743936538696289,1014.8700714111328
1686246453383814400,37.027814453125,-0.13740062713623047,1014.8656463623047
1686246454455155500,38.099155517578126,-0.10040855407714844,1014.86083984375
1686246455526527200,39.17052734375,-0.0792703628540039,1014.8587799072266
1686246456597877200,40.24187719726562,-0.07398509979248047,1014.8575592041016
1686246457669242000,41.3132421875,-0.0634164810180664,1014.8568725585938
1686246458740591400,42.38459130859375,-0.0634164810180664,1014.8568725585938
1686246459811958300,43.45595825195313,-0.06870079040527344,1014.8572540283203
1686246460883319000,44.527319091796876,-0.07398509979248047,1014.8575592041016
1686246461954738200,45.59873828125,-0.0792703628540039,1014.8585510253906
1686246463026100200,46.670100341796875,-0.08455467224121094,1014.8593902587891
1686246464097485300,47.7414853515625,-0.10040855407714844,1014.8612976074219
1686246465168834300,48.81283422851563,-0.12154674530029297,1014.8636627197266
1686246466240270000,49.88427001953125,-0.13211631774902344,1014.8649597167969
1686246467311657200,50.9556572265625,-0.15325450897216797,1014.8675537109375
1686246468383016400,52.02701635742188,-0.16910839080810547,1014.8692321777344
1686246469454400300,53.09840014648437,-0.19553184509277344,1014.8724365234375
1686246470525788400,54.16978833007813,-0.2061014175415039,1014.8735046386719
1686246471597181400,55.24118139648437,-0.22723960876464844,1014.8764038085938
1686246472668577300,56.31257739257813,-0.24837875366210938,1014.8789215087891
1686246473739913200,57.38391333007812,-0.2642326354980469,1014.8808288574219
1686246474811263200,58.45526318359375,-0.27480125427246094,1014.8822784423828
1686246475882622200,59.52662231445313,-0.2800865173339844,1014.8828125
1686246476953970200,60.59797021484375,-0.29065513610839844,1014.8838043212891
1686246478025262300,61.669262451171875,-0.2959403991699219,1014.8846435546875
1686246479096591400,62.74059130859375,-0.3117942810058594,1014.8865509033203
1686246480168002300,63.81200219726563,-0.3170785903930664,1014.8872375488281
1686246481239337200,64.88333715820312,-0.33821773529052734,1014.8895263671875
1686246482310709200,65.95470922851563,-0.3487863540649414,1014.8908996582031
1686246483382046200,67.02604614257812,-0.35407161712646484,1014.8918151855469
1686246484453347300,68.09734741210937,-0.35407161712646484,1014.8918151855469
1686246485524606200,69.16860620117187,-0.3435020446777344,1014.8905181884766
1686246486595950300,70.23995043945312,-0.32236289978027344,1014.8873901367188
1686246487667299300,71.31129931640625,-0.30650901794433594,1014.8859405517578
1686246488738645200,72.38264526367188,-0.2959403991699219,1014.8846435546875
1686246489810007300,73.45400732421875,-0.2853708267211914,1014.8833465576172
1686246490881359400,74.525359375,-0.2695169448852539,1014.8814392089844
1686246491952704300,75.59670434570313,-0.2695169448852539,1014.8814392089844
1686246493024062200,76.66806225585937,-0.27480125427246094,1014.8817443847656
1686246494095452400,77.73945239257813,-0.2853708267211914,1014.8833465576172
1686246495166861300,78.810861328125,-0.3012247085571289,1014.8848724365234
1686246496238321400,79.8823212890625,-0.32236289978027344,1014.8873901367188
1686246497309709300,80.95370922851562,-0.33821773529052734,1014.8896789550781
1686246498381084200,82.02508422851562,-0.33821773529052734,1014.8896789550781
1686246499452431000,83.09643115234375,-0.3435020446777344,1014.8900604248047
