,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr_bpm,loc_speed,labelwalking,labelstanding,labelcycling,labelsitting,labeljogging,mag_x,mag_y,mag_z,pca_1,pca_2,pca_3,pca_4
2023-06-10 09:18:22.078849500,0.9419211757990011,0.6337063586151999,-0.23280788847878417,0.05220409797621081,0.05679689637582353,0.32395914379047913,78.83333333333333,0.0,1,0,0,0,0,-99.48873615361364,-26.24186167311692,-235.42272843629334,-0.044965206094459094,0.07566933959598375,-0.41402671878462544,0.05903334368140392
2023-06-10 09:18:22.578849500,1.0646348518889779,0.6048072432418347,-0.21278426459583824,0.07160493483242197,0.12704971323729425,0.2672051763157785,78.66666666666667,0.0,1,0,0,0,0,-98.1367526390103,-27.654931685441348,-235.2178851866293,-0.04379633196755413,0.11388201334684618,-0.4330468902880807,0.08456812915023221
2023-06-10 09:18:23.078849500,1.1248052167393046,0.6365398712028452,-0.1759982011407958,0.16498172077321335,0.21440639067475173,-0.045877572728694124,78.5,0.0,1,0,0,0,0,-95.70596714074749,-28.361199594201683,-235.15934542352736,-0.06259120436100621,0.13696171412351987,-0.45103804397228453,0.09343236854270938
2023-06-10 09:18:23.578849500,1.0822757763030602,0.7182765745639456,-0.14612474229127323,0.09846878343327696,0.11019129479857526,-0.38530048332843014,78.33333333333333,0.0,1,0,0,0,0,-94.17949041762711,-25.879620732636354,-235.52579621328243,-0.09885892005507355,0.1248476322882746,-0.4604072393725791,0.07324205280052366
2023-06-10 09:18:24.078849500,0.9813074322062384,0.7956080923532041,-0.12165179162154213,-0.33791222806789234,-0.18375831102217358,-0.45304503550955055,78.16666666666667,0.0,1,0,0,0,0,-95.07378624072477,-19.94261251594243,-235.5887198292091,-0.14250026536127716,0.08512377813750104,-0.45436981612802985,0.04042060688076404
2023-06-10 09:18:24.578849500,0.9144402792854615,0.8081662591040238,-0.0820066126939476,-0.9889686657970452,-0.4354086831879203,-0.20527657489307474,78.0,0.0,1,0,0,0,0,-97.6834546323753,-13.903680424882573,-233.20110059181556,-0.1807183922511105,0.051654411721836234,-0.43048000629766503,0.03510036565418616
2023-06-10 09:18:25.078849500,0.9358862792381631,0.7371252413775041,-0.027696304278476056,-1.3973665435370624,-0.44859019682331974,0.09304572246211029,77.83333333333333,0.0,1,0,0,0,0,-99.90057968928157,-11.81680308996383,-226.53034514697237,-0.20355254793986194,0.05304346130047766,-0.3941134555894244,0.08455421593954444
2023-06-10 09:18:25.578849500,1.0116400678052146,0.6178415798579036,0.0033798368410903386,-1.2618933103279406,-0.2825310877120355,0.16655788056456663,77.66666666666667,0.0,1,0,0,0,0,-100.55797579451317,-14.147751804977078,-216.52332620044442,-0.20752296729892433,0.08355608499675794,-0.3571265460051426,0.1714756847282155
2023-06-10 09:18:26.078849500,1.0601742683449058,0.5096266537017597,-0.02780612236425448,-0.7500569419945963,-0.1585600079642774,0.02106973355204461,77.5,0.0,1,0,0,0,0,-100.34209996602355,-17.36328966006738,-206.98934562539844,-0.19672599831712065,0.11059195047820487,-0.3313646502126749,0.24564752828266792
2023-06-10 09:18:26.578849500,1.0391123507823476,0.4536397769089699,-0.11468369529065553,-0.28861852438557084,-0.1803206782846039,-0.125020447238914,77.33333333333333,0.0,1,0,0,0,0,-100.38250734206811,-18.15061496347878,-201.50109049273402,-0.1804723361298875,0.11092719709018667,-0.32159478958650395,0.2709739501096684
